,LGRE,HGRE,GLNU,isPatho
0,0.011951772058401835,510244.5822784812,9130.39240506329,0
1,0.044627978387287444,489944.30555555574,12438.263888888889,1
2,0.011951772058401835,510244.5822784812,9130.39240506329,0
3,0.044627978387287444,489944.30555555574,12438.263888888889,1
4,0.011951772058401835,510244.5822784812,9130.39240506329,0
5,0.044627978387287444,489944.30555555574,12438.263888888889,1
6,0.011951772058401835,510244.5822784812,9130.39240506329,0
7,0.044627978387287444,489944.30555555574,12438.263888888889,1
8,0.011951772058401835,510244.5822784812,9130.39240506329,0
9,0.044627978387287444,489944.30555555574,12438.263888888889,1
10,0.011951772058401835,510244.5822784812,9130.39240506329,0
11,0.044627978387287444,489944.30555555574,12438.263888888889,1
12,0.011951772058401835,510244.5822784812,9130.39240506329,0
13,0.044627978387287444,489944.30555555574,12438.263888888889,1
14,0.011951772058401835,510244.5822784812,9130.39240506329,0
15,0.044627978387287444,489944.30555555574,12438.263888888889,1
16,0.011951772058401835,510244.5822784812,9130.39240506329,0
17,0.044627978387287444,489944.30555555574,12438.263888888889,1
18,0.011951772058401835,510244.5822784812,9130.39240506329,0
19,0.044627978387287444,489944.30555555574,12438.263888888889,1
20,0.011951772058401835,510244.5822784812,9130.39240506329,0
21,0.044627978387287444,489944.30555555574,12438.263888888889,1
22,0.011951772058401835,510244.5822784812,9130.39240506329,0
23,0.044627978387287444,489944.30555555574,12438.263888888889,1
24,0.011951772058401835,510244.5822784812,9130.39240506329,0
25,0.044627978387287444,489944.30555555574,12438.263888888889,1
26,0.011951772058401835,510244.5822784812,9130.39240506329,0
27,0.044627978387287444,489944.30555555574,12438.263888888889,1
28,0.011951772058401835,510244.5822784812,9130.39240506329,0
29,0.044627978387287444,489944.30555555574,12438.263888888889,1
30,0.011951772058401835,510244.5822784812,9130.39240506329,0
31,0.044627978387287444,489944.30555555574,12438.263888888889,1
32,0.011951772058401835,510244.5822784812,9130.39240506329,0
33,0.044627978387287444,489944.30555555574,12438.263888888889,1
34,0.011951772058401835,510244.5822784812,9130.39240506329,0
35,0.044627978387287444,489944.30555555574,12438.263888888889,1
36,0.011951772058401835,510244.5822784812,9130.39240506329,0
37,0.044627978387287444,489944.30555555574,12438.263888888889,1
38,0.011951772058401835,510244.5822784812,9130.39240506329,0
39,0.044627978387287444,489944.30555555574,12438.263888888889,1
40,0.011951772058401835,510244.5822784812,9130.39240506329,0
41,0.044627978387287444,489944.30555555574,12438.263888888889,1
42,0.011951772058401835,510244.5822784812,9130.39240506329,0
43,0.044627978387287444,489944.30555555574,12438.263888888889,1
44,0.011951772058401835,510244.5822784812,9130.39240506329,0
45,0.044627978387287444,489944.30555555574,12438.263888888889,1
46,0.011951772058401835,510244.5822784812,9130.39240506329,0
47,0.044627978387287444,489944.30555555574,12438.263888888889,1
48,0.011951772058401835,510244.5822784812,9130.39240506329,0
49,0.044627978387287444,489944.30555555574,12438.263888888889,1
50,0.011951772058401835,510244.5822784812,9130.39240506329,0
51,0.044627978387287444,489944.30555555574,12438.263888888889,1
52,0.011951772058401835,510244.5822784812,9130.39240506329,0
53,0.044627978387287444,489944.30555555574,12438.263888888889,1
54,0.011951772058401835,510244.5822784812,9130.39240506329,0
55,0.044627978387287444,489944.30555555574,12438.263888888889,1
56,0.011951772058401835,510244.5822784812,9130.39240506329,0
57,0.044627978387287444,489944.30555555574,12438.263888888889,1
58,0.011951772058401835,510244.5822784812,9130.39240506329,0
59,0.044627978387287444,489944.30555555574,12438.263888888889,1
60,0.011951772058401835,510244.5822784812,9130.39240506329,0
61,0.044627978387287444,489944.30555555574,12438.263888888889,1
62,0.011951772058401835,510244.5822784812,9130.39240506329,0
63,0.044627978387287444,489944.30555555574,12438.263888888889,1
64,0.011951772058401835,510244.5822784812,9130.39240506329,0
65,0.044627978387287444,489944.30555555574,12438.263888888889,1
66,0.011951772058401835,510244.5822784812,9130.39240506329,0
67,0.044627978387287444,489944.30555555574,12438.263888888889,1
68,0.011951772058401835,510244.5822784812,9130.39240506329,0
69,0.044627978387287444,489944.30555555574,12438.263888888889,1
70,0.011951772058401835,510244.5822784812,9130.39240506329,0
71,0.044627978387287444,489944.30555555574,12438.263888888889,1
72,0.011951772058401835,510244.5822784812,9130.39240506329,0
73,0.044627978387287444,489944.30555555574,12438.263888888889,1
74,0.011951772058401835,510244.5822784812,9130.39240506329,0
75,0.044627978387287444,489944.30555555574,12438.263888888889,1
76,0.011951772058401835,510244.5822784812,9130.39240506329,0
77,0.044627978387287444,489944.30555555574,12438.263888888889,1
78,0.011951772058401835,510244.5822784812,9130.39240506329,0
79,0.044627978387287444,489944.30555555574,12438.263888888889,1
80,0.011951772058401835,510244.5822784812,9130.39240506329,0
81,0.044627978387287444,489944.30555555574,12438.263888888889,1
82,0.011951772058401835,510244.5822784812,9130.39240506329,0
83,0.044627978387287444,489944.30555555574,12438.263888888889,1
84,0.011951772058401835,510244.5822784812,9130.39240506329,0
85,0.044627978387287444,489944.30555555574,12438.263888888889,1
86,0.011951772058401835,510244.5822784812,9130.39240506329,0
87,0.044627978387287444,489944.30555555574,12438.263888888889,1
88,0.011951772058401835,510244.5822784812,9130.39240506329,0
89,0.044627978387287444,489944.30555555574,12438.263888888889,1
90,0.011951772058401835,510244.5822784812,9130.39240506329,0
91,0.044627978387287444,489944.30555555574,12438.263888888889,1
92,0.011951772058401835,510244.5822784812,9130.39240506329,0
93,0.044627978387287444,489944.30555555574,12438.263888888889,1
94,0.011951772058401835,510244.5822784812,9130.39240506329,0
95,0.044627978387287444,489944.30555555574,12438.263888888889,1
96,0.011951772058401835,510244.5822784812,9130.39240506329,0
97,0.044627978387287444,489944.30555555574,12438.263888888889,1
98,0.011951772058401835,510244.5822784812,9130.39240506329,0
99,0.044627978387287444,489944.30555555574,12438.263888888889,1
